,precipita_o_total_hor_rio_mm,pressao_atmosferica_ao_nivel_da_estacao_horaria_mb,press_o_atmosferica_max_na_hora_ant_aut_mb,press_o_atmosferica_min_na_hora_ant_aut_mb,radiacao_global_kj_m,temperatura_do_ar_bulbo_seco_horaria_c,temperatura_do_ponto_de_orvalho_c,temperatura_m_xima_na_hora_ant_aut_c,temperatura_m_nima_na_hora_ant_aut_c,temperatura_orvalho_max_na_hora_ant_aut_c,temperatura_orvalho_min_na_hora_ant_aut_c,umidade_rel_max_na_hora_ant_aut,umidade_rel_min_na_hora_ant_aut,umidade_relativa_do_ar_horaria,vento_dire_o_horaria_gr_gr,vento_rajada_maxima_m_s,vento_velocidade_horaria_m_s
precipita_o_total_hor_rio_mm,1.0,-0.055922929400596254,-0.04513820096560939,-0.07032269890698632,-0.06375573178278833,-0.11977530715105507,0.05760652422782983,-0.006644413083378671,-0.12257991286158676,0.11865417677965726,0.03464294815582234,0.139627744844624,0.040616067026035346,0.1442094042036231,0.01999882276644944,0.20367379081208525,0.007907830209130894
pressao_atmosferica_ao_nivel_da_estacao_horaria_mb,-0.055922929400596254,1.0,0.9807122922423979,0.983504497460735,0.034317992156920656,-0.08193260875537961,-0.13507411598205474,-0.1408686939191249,-0.14862972280181055,-0.16803987862268369,-0.08708592747009306,0.07804086043197042,0.08547165520952146,0.025877313511395092,0.005042784695629543,-0.029526536850314856,0.09385047026267046
press_o_atmosferica_max_na_hora_ant_aut_mb,-0.04513820096560939,0.9807122922423979,1.0,0.9860653738979085,0.13238199389518965,-0.004190623501994217,-0.12742736919418124,-0.0631860360722083,-0.06975384896715547,-0.13383528121348817,-0.10764149182242048,0.010709593036113175,0.016070005332479726,-0.041276906011976644,0.004969502365464812,0.007258324862653072,0.13094775154266144
press_o_atmosferica_min_na_hora_ant_aut_mb,-0.07032269890698632,0.983504497460735,0.9860653738979085,1.0,0.1002665620217942,-0.036728063525438163,-0.13908127750173663,-0.10055832325161414,-0.10012479501525309,-0.1615455915086215,-0.10207104283862055,0.03438196600605422,0.048173942283049,-0.015175989819414898,0.004214971167280964,-0.027432819681940897,0.10657443627216334
radiacao_global_kj_m,-0.06375573178278833,0.034317992156920656,0.13238199389518965,0.1002665620217942,1.0,0.8769575019783102,0.04959488767641254,0.838440514215014,0.8133052514219794,0.3112673166043917,-0.19217351725239204,-0.731998978815163,-0.7812955564719724,-0.8085301721368559,-0.034991820147917393,0.49652575470469024,0.6112070806503911
temperatura_do_ar_bulbo_seco_horaria_c,-0.11977530715105507,-0.08193260875537961,-0.004190623501994217,-0.036728063525438163,0.8769575019783102,1.0,0.030016645679372282,0.9632504713946538,0.9672739826318617,0.2795561544643295,-0.22962173623360854,-0.8945859135809251,-0.9220182096947455,-0.943909258619725,-0.09717832068242653,0.570765399968945,0.6151118816012291
temperatura_do_ponto_de_orvalho_c,0.05760652422782983,-0.13507411598205474,-0.12742736919418124,-0.13908127750173663,0.04959488767641254,0.030016645679372282,1.0,0.035110309261776364,-0.01528709478665067,0.8795552766166679,0.8623895349087466,0.3414979669308392,0.21671069155691494,0.28452393603057347,0.13670237139090866,-0.15372098702033535,-0.16055079523487206
temperatura_m_xima_na_hora_ant_aut_c,-0.006644413083378671,-0.1408686939191249,-0.0631860360722083,-0.10055832325161414,0.838440514215014,0.9632504713946538,0.035110309261776364,1.0,0.9548000539967466,0.3162433623309355,-0.24378904913368665,-0.8813321477634174,-0.9543665257818267,-0.9104322945943958,-0.09111415412337258,0.6431773601464379,0.62149039758924
temperatura_m_nima_na_hora_ant_aut_c,-0.12257991286158676,-0.14862972280181055,-0.06975384896715547,-0.10012479501525309,0.8133052514219794,0.9672739826318617,-0.01528709478665067,0.9548000539967466,1.0,0.23359705548507173,-0.25476092375186976,-0.932384756815074,-0.9238325572424042,-0.9261275220334017,-0.10908094533101625,0.5574735738789651,0.5748680364452974
temperatura_orvalho_max_na_hora_ant_aut_c,0.11865417677965726,-0.16803987862268369,-0.13383528121348817,-0.1615455915086215,0.3112673166043917,0.2795561544643295,0.8795552766166679,0.3162433623309355,0.23359705548507173,1.0,0.7342689538738545,0.10245864256306891,-0.05953058207603925,0.007310738572579222,0.12607269000662935,0.08434037225335593,0.06369137300636242
temperatura_orvalho_min_na_hora_ant_aut_c,0.03464294815582234,-0.08708592747009306,-0.10764149182242048,-0.10207104283862055,-0.19217351725239204,-0.22962173623360854,0.8623895349087466,-0.24378904913368665,-0.25476092375186976,0.7342689538738545,1.0,0.5427717669474005,0.48769941548501966,0.48869612259315165,0.14072098171562264,-0.29960364096303066,-0.2775697361323192
umidade_rel_max_na_hora_ant_aut,0.139627744844624,0.07804086043197042,0.010709593036113175,0.03438196600605422,-0.731998978815163,-0.8945859135809251,0.3414979669308392,-0.8813321477634174,-0.932384756815074,0.10245864256306891,0.5427717669474005,1.0,0.9478666386806947,0.9669948201492686,0.15846221449700318,-0.5982634997497829,-0.6108749026148742
umidade_rel_min_na_hora_ant_aut,0.040616067026035346,0.08547165520952146,0.016070005332479726,0.048173942283049,-0.7812955564719724,-0.9220182096947455,0.21671069155691494,-0.9543665257818267,-0.9238325572424042,-0.05953058207603925,0.48769941548501966,0.9478666386806947,1.0,0.960478502206807,0.13502453469838727,-0.6785698444886541,-0.6531052245341145
umidade_relativa_do_ar_horaria,0.1442094042036231,0.025877313511395092,-0.041276906011976644,-0.015175989819414898,-0.8085301721368559,-0.943909258619725,0.28452393603057347,-0.9104322945943958,-0.9261275220334017,0.007310738572579222,0.48869612259315165,0.9669948201492686,0.960478502206807,1.0,0.14444039474633638,-0.6207620416474855,-0.6621611080961769
vento_dire_o_horaria_gr_gr,0.01999882276644944,0.005042784695629543,0.004969502365464812,0.004214971167280964,-0.034991820147917393,-0.09717832068242653,0.13670237139090866,-0.09111415412337258,-0.10908094533101625,0.12607269000662935,0.14072098171562264,0.15846221449700318,0.13502453469838727,0.14444039474633638,1.0,-0.10610465856048486,-0.09905149734844691
vento_rajada_maxima_m_s,0.20367379081208525,-0.029526536850314856,0.007258324862653072,-0.027432819681940897,0.49652575470469024,0.570765399968945,-0.15372098702033535,0.6431773601464379,0.5574735738789651,0.08434037225335593,-0.29960364096303066,-0.5982634997497829,-0.6785698444886541,-0.6207620416474855,-0.10610465856048486,1.0,0.7808009480310102
vento_velocidade_horaria_m_s,0.007907830209130894,0.09385047026267046,0.13094775154266144,0.10657443627216334,0.6112070806503911,0.6151118816012291,-0.16055079523487206,0.62149039758924,0.5748680364452974,0.06369137300636242,-0.2775697361323192,-0.6108749026148742,-0.6531052245341145,-0.6621611080961769,-0.09905149734844691,0.7808009480310102,1.0
